query,original_name,sheet,row,source_link,people_count
捉妖记西游莲花精,捉妖记西游莲花精（4人开放）,狐小狸剧本杀目录,167,https://pan.baidu.com/s/1C0GPQnnc9iekoDeCJQ5Llg,4
帝落轩辕,帝落轩辕（8人开放）,狐小狸剧本杀目录,168,https://pan.baidu.com/s/1kZQekBPnqqpbayhmeOLPTw,8
幽灵复仇,幽灵复仇（7人半开放),狐小狸剧本杀目录,169,https://pan.baidu.com/s/1Aiecrai1x8JArv_ZpMhLfw,7
海余生,海余生（6人开放）,狐小狸剧本杀目录,170,https://pan.baidu.com/s/1Sg_h6NPBNN2TVo-1Kn8SOA,6
老烟枪,老烟枪（6人封闭）,狐小狸剧本杀目录,171,https://pan.baidu.com/s/1PX24-HRlbNM2OI4zs1OS3g,6
漫画家之死,漫画家之死（5-6人开放）,狐小狸剧本杀目录,172,https://pan.baidu.com/s/1w3rffBlSB_98_7m1XhHkdg,5|6
华丽的背后,华丽的背后（6人开放）,狐小狸剧本杀目录,173,https://pan.baidu.com/s/1NO5X6WgMFJfNG4heyst7wA,6
美术室杀人事件,美术室杀人事件（6人开放）,狐小狸剧本杀目录,174,https://pan.baidu.com/s/185qRHRXyoSZZ-CSWeiRSMw,6
冈比亚之死,冈比亚之死（8-11开放）,狐小狸剧本杀目录,175,https://pan.baidu.com/s/1DDsmJguYDcH9vFHC2RaUaw,8|9|10|11
四大名捕2之千门宫,四大名捕2之千门宫（4人开放）,狐小狸剧本杀目录,176,https://pan.baidu.com/s/1os1f1S7srFeq_wQUcMC7uA,4
反派盛宴,反派盛宴（12人封闭）,狐小狸剧本杀目录,177,https://pan.baidu.com/s/1934R5ofqS1r4G0_BbUeG7w,12
死穿白英文,死穿白英文（八人开放）,狐小狸剧本杀目录,178,https://pan.baidu.com/s/1j_VKOAWnhvncpURzztvEfQ,8
女演员之死,女演员之死（5-6人开放）,狐小狸剧本杀目录,179,https://pan.baidu.com/s/1SXq7t4qTAfcBhUNaSAzpog,5|6
飞弹机关宅邸杀人事件,飞弹机关宅邸杀人事件（8人封闭）,狐小狸剧本杀目录,180,https://pan.baidu.com/s/15bBPHL3rjWetgilsD2LLwQ,8
Opal的闪耀,Opal的闪耀（9人开放）,狐小狸剧本杀目录,181,https://pan.baidu.com/s/1gviy8o0cw1eFqsQCej5aRQ,9
愤怒的葡萄,愤怒的葡萄（6人封闭）,狐小狸剧本杀目录,182,https://pan.baidu.com/s/1zhG22DI2XlK5cZmHNJGJjQ,6
